ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,BaseAnnotation,BaseAnnotator,BaseComment,Coverage,OneToThirty,BaseInSource
numerals-aari1239-1,"Aari, Ethiopia",aari1239,Aari,aiw,Africa,5.95034,36.5721,South Omotic,vigesimal,Eugene Chan,"Aari has a numeral system based on twenty. The first word for twenty means ' size' or ' stocky ', the second word ' ʔéwólːáqbab ʔits ' means 'person-one to-eat ' and forty can be expressed by ' ʔéqastːénbaːb ʔits ', which means 'person-two to-eat ', but nowadays, they often use Amharic numerals for large numbers. Aari has two tonesː high tone = v́, low tone (unmarked). The Aari numeral system is decimal and there are many complex numerals, which derived from more than base form. The following are basic numerals starting from number one to ten. wollaχ ‘one’ qastən ‘two’ makkən ‘three’ ojidi ‘four’ donq ‘five’ laa ‘six’ təbza ‘seven’ qastən təmmərs ‘eight’ wolχan təmmərs ‘nine’ təmma ‘ten’ The numerals (qastən təmmərs) ‘eight’ and (wolχan təmmərs) ‘nine’ are both respectively formed from (qastən) ‘two’ and (təmmərs).Also, (wolχan) ‘one’ and (təmmərs). In each case, the second word is the same. Thus, (qastən təmmərs) can be interpreted as ‘two more to ten’ and (wolχan təmmərs) ‘one more to ten’ Numerals (11-19) can form with the combination of (təmma) ‘ten’ and lower numerals. Look the following numerals (11-19) təmma wolaχ ‘eleven’ təmma qastən ‘twelve’ təmma makkən ‘thirteen’ təmma ojidi ‘fourteen’ təmma donq ‘fifteen’ təmma laa ‘sixteen’ təmma təbza ‘seventeen’ təmma qastən təmmərs ‘eighteen’ təmma wolχan təmmərs ‘nineteen’ Numeral twenty (20) has a lexical form (boonda) ‘one full person’. The other decimal numbers from thirty to one hundred formed as follow: 3.a. boonda - kə təmmə - k ‘thirty’ a full person – CONJ ten – CONJ ‘one full person and ten’ b. e – qastən- baβ its ‘forty’ person – two-father eat ‘eat two persons owner’ c. e- qastən- baβ its – kə təmmə -k ‘fifty’ Person - two -father eat–CONJ ten- CONJ ‘eat owner of two persons and ten’ d. e – makkən- baβ its ‘sixty’ person – three-father eat ‘eat owner of three persons ’ e. e – makkən- baβ its - kə təmmə -k ‘seventy’ person-three-father eat–CONJ ten - CONJ ‘eat owner of three persons and ten’ f. e – ojidi - baβ its ‘eighty’ person-four-fatherr eat ‘eat owner of four persons’ g. e – ojidi - baβ its – kə təmmə-k ‘ninety’ person-four-father eat-CONJ ten- CONJ ‘eat owner of four persons and ten’ h. e – donq - baβ its ‘one hundred’ person-five-father eat ‘eat owner of five persons ’ As you have seen the above examples numerals start from thirty and the above describing by changing the numbers, which come before person. For instance, one full person represents the numeral ‘twenty’. In Aari numbering system one full person related with the number of fingers, which one person has (both hand and leg fingers). Therefore, numerals starting from thirty and the above expressed by relating with the number of ‘full person eat’ and numerals begin (40) and above use (its) ‘eat’ as in (e-qastən-baβ its) ‘eat father of two persons’ represents numeral 40 (forty), (e-makkən-baβ its) ‘eat father of three persons’ represents numeral 60 (sixty). In all examples, ‘baβ’ stands for the meaning ‘father’. Again, odd numerals such as 30, 50, 70, 90 and the like take conjunction (-kə) which is suffixed on the word (its) ‘eat’ and then add the numeral (təmma) ‘ten’ with the conjunction (-k) but in case of 30 (thirty) we cannot get the word (its) consider the following examples. 4. a. boonda – kə təmmə - k ‘thirty’ full person -CONJ ten –CONJ ‘one full person and ten’ b. e – qastən - baβ its – kə təmmə - k ‘fifty’ person-two-father eat – CONJ ten - CONJ ‘eat owner of two persons and ten’ c. e – makkən- baβ its – kə təmmə -k ‘seventy’ person-three-father eat – CONJ ten – CONJ ‘eat owner of three persons and ten’ d. e – ojidi - baβ its – kə təmmə - k ‘ninety’ person-four-father eat - CONJ ten - CONJ ‘eat owner of four persons and ten’ The above odd numerals take lower numerals next to numeral (təmma) ‘ten’ and conjunction (-kə). Look the following examples of numerals from 51-59 (fifty - one up to fifty – nine). 5. a. e – qastən - baβ its – kə təmmə - kə wolaχ ‘fifty one’ person-two-father eat-CONJ ten - CONJ one ‘eat two persons and ten plus one’ b. e – qastən - baβ its – kə təmmə - kə qastən ‘fifty two’ person-two-father eat-CONJ ten - CONJ two ‘eat owner of two persons and ten plus two’ c. e – qastən - baβ its – kə təmmə - kə makkən ‘fifty three’ person-two-father eat -CONJ ten - CONJ three ‘eat owner of two persons and ten plus three’ d. e – qastən - baβ its – kə təmmə - kə ojidi ‘fifty four’ person-two-father eat-CONJ ten – CONJ four ‘eat owner of two persons and ten plus four’ e. e – qastən - baβ its – kə təmmə - kə donq ‘fifty five’ person-two-father eat-CONJ ten – CONJ five ‘eat owner of two persons and ten plus five’ f. e – qastən - baβ its – kə təmmə - kə laa ‘fifty six’ person-two-father eat-CONJ ten - CONJ six ‘eat owner of two persons and ten plus six’ g. e – qastən - baβ its – kə təmmə - kə təbza ‘fifty seven’ person- two-father eat-CONJ ten - CONJ seven ‘eat owner of two persons and ten plus seven’ h. e – qastən - baβ its – kə təmmə-kə qastən təmmərs ‘fifty eight’ person-two-father eat–CONJ ten – CONJ eight ‘eat owner of two persons and ten plus eight’ i. e – qastən - baβ its – kə təmmə-kə wolχan təmmərs ‘fifty nine’ person-two-father eat-CONJ ten - CONJ nine ‘eat owner of two persons and ten plus nine’ The following are some numerals above 100 (one hundred) 6.a. e – donq - baβ its – kə təmmə-k ‘one hundred ten’ person-two-father eat-CONJ ten-CONJ ‘eat owner of five persons and ten’ b. e – donq- baβ its – kə boondə - k ‘one hundred twenty’ person-two-father eat-CONJ twenty-CONJ ‘eat owner of five persons and twenty’ c. e – donq - baβ its – kə boondə - kə təmmə-k ‘one hundred thirty’ person-two-father eat-CONJ twenty-CONJ ten-CONG ‘eat owner of five persons and twenty plus ten’ d. e – təbza - baβ its ‘one hundred forty’ person-seven-father eat ‘eat owner of seven persons’ e. e – təbza - baβ its – kə təmmə -k ‘one hundred fifty’ person-seven-father eat-CONJ ten-CONJ ‘eat owner of seven persons and ten’ f. e – qastən təmmərs- baβ its ‘one hundred sixty’ person - eight – father eat ‘eat owner of eight persons’ g. e – qastən təmmers-baβ its – kə təmm-ək ‘one hundred seventy’ person - eight – father eat-CONJ ten-CONJ ‘eat owner of eight persons and ten’ h. e – wolχan təmmərs - baβ its ‘one hundred eighty’ person - nine - father eat ‘eat owner of nine persons’ i. e - wolχan təmmərs - baβ its – kə təmmə -k ‘one hundred ninety’ person - nine - father eat-CONJ ten-CONJ ‘eat owner nine persons and ten’ j. e – təmma- baβ its ‘two hundred’ person-ten-father eat ‘eat owner of ten prsons’ All numerals started from forty- (40) and the above have (e-) at their beginning position. In this context (e-) stands for ‘a person’ but it omits the consonant (-d) from the normal expression. Therefore, in a word level ‘ed’ represents the word ‘person’.",0.24691358024691357,1.0,
numerals-abad1241-1,"Gabadi, Papua New Guinea",abad1241,Abadi,kbt,Papunesia,-9.03389,146.992,Austronesian,decimal,Russell Barlow,"Gabadi or Abadi has a decimal system with particular substructure for numbers 6, 8 and 9. 7 might be a loanword from Polynesian language. Number 'hundred' is a loanword from Roro language.",0.24691358024691357,1.0,
barlowpacific-abad1241-1,Gabadi,abad1241,Abadi,kbt,Papunesia,-9.03389,146.992,Austronesian,decimal,Russell Barlow,,0.12962962962962962,0.4482758620689655,
barlowpacific-abag1245-1,Abaga,abag1245,Abaga,abg,Papunesia,-6.12028,145.665,Nuclear Trans New Guinea,binary,Russell Barlow,,0.030864197530864196,0.1724137931034483,
numerals-abai1240-1,"Abai Sungai, Sabah, Malaysia",abai1240,Abai Sungai,abf,Papunesia,5.55394,118.306,Austronesian,decimal,Russell Barlow,Aba Sungai might have a decimal system. New data needed.,0.06172839506172839,0.3448275862068966,
barlowpacific-abai1241-1,Abai Sembuak,abai1241,Abai Tubu-Abai Sembuak,,Papunesia,3.524226,116.162455,Austronesian,decimal,Russell Barlow,,0.10493827160493827,0.41379310344827586,
barlowpacific-abai1241-2,Abai Tubu,abai1241,Abai Tubu-Abai Sembuak,,Papunesia,3.524226,116.162455,Austronesian,decimal,Russell Barlow,,0.10493827160493827,0.41379310344827586,
numerals-abar1238-1,"Mungbam (Abar), Cameroon",abar1238,Mungbam,mij,Africa,6.5805,10.2267,Atlantic-Congo,decimal,Enock Appiah Tieku,"senary - six is derived from three, 7-9 appear as compounds; There are five dialects in the Mugnbam language: Munken, Abar, Biya, Missong and Ngun, the above numeral systems are from Abar and Missong dialects. Both Abar and Missong dialects has a decimal system. The first set is from Abar and the second from Missong. Notes: 1.- indicates that a noun class agreement prefix is attached 2. kə̄/kə́ and mɛ̀ means 'and/with' 3 -gbe̋ means 'rope' 4. ūwə́n ùnè means 'ornaments of a man'",0.16666666666666666,0.7241379310344828,
numerals-abar1238-2,"Mungbam (Missong), Cameroon",abar1238,Mungbam,mij,Africa,6.5805,10.2267,Atlantic-Congo,decimal,Enock Appiah Tieku,"senary - six is derived from three, 7-9 appear as compounds; There are five dialects in the Mugnbam language: Munken, Abar, Biya, Missong and Ngun, the above numeral systems are from Abar and Missong dialects. Both Abar and Missong dialects has a decimal system. The first set is from Abar and the second from Missong. Notes: 1.- indicates that a noun class agreement prefix is attached 2. kə̄/kə́ and mɛ̀ means 'and/with' 3 -gbe̋ means 'rope' 4. ūwə́n ùnè means 'ornaments of a man'",0.16666666666666666,0.7241379310344828,
numerals-abar1238-3,"Mungbam (Munken), Cameroon",abar1238,Mungbam,mij,Africa,6.5805,10.2267,Atlantic-Congo,decimal,Enock Appiah Tieku,"senary - six is derived from three, 7-9 appear as compounds; There are five dialects in the Mungbam language: Munken, Abar, Biya, Missong and Ngun, the above numeral systems are from Munken, Biya and Ngun dialects. Both these three dialects has a decimal system. The first set is from Munken, and the second from Biya, and the third from Ngun. Notes: 1.- indicates that a noun class agreement prefix is attached 2. kə̄/kə́ and mɛ̀ means 'and/with' 3 -gbe̋ means 'rope' 4. ūwə́n ùnè means 'ornaments of a man'",0.09259259259259259,0.4827586206896552,
