Severity,ID,Language_ID,Language,Feature_ID,Feature,Current_value,Recommended_value,Values_comment,Declared_source,Raw_primary_evidence,Issue,Suggested_action
High,AA063-SA13,AA063,U,SA13,Anchor_initial_additive_teens,1,NA,"10+1, 10+2, 10+3, 10+4, 10+5, 10+6, 10+7, 10+8, 10+9",AA063-numerals-uuuu1243-1_edited.csv,,"The value is 1 for anchor-initial additive teens, but the raw source contains no data for 11–19 at all. The comment lists 10+1 through 10+9, which are absent from the source.","Change 1. With the current source coverage this looks like NA, unless the missing teen data exist elsewhere."
High,AA090-SA17,AA090,Gata',SA17,Anchor_initial_multiplicative_decades,0,1,,AA090-numerals-gata1239-1.csv,"10: Gloss='10' | 10: Gloss='10′'; glosser note='borrowed from Indo-Aryan (Indo-European)' | 20: Gloss='10⋅2′' | 20: Gloss='20' | 20: Gloss='20' | 30: Gloss='(1⋅20)[+]10' | 30: Gloss='?'; Alternate='3′⋅10′'; glosser note='borrowed from Indo-Aryan (Indo-European); it is difficult to assess the compositionality, given the lack of attestation of all numerals borrowed from this system' | 40: Gloss='2⋅20' | 40: Gloss='?'; Alternate='4′⋅10′'; glosser note='borrowed from Indo-Aryan (Indo-European); it is difficult to assess the compositionality, given the lack of attestation of all numerals borrowed from this system' | 50: Gloss='(2⋅20)[+]10' | 50: Gloss='?'; Alternate='5′⋅10′'; glosser note='borrowed from Indo-Aryan (Indo-European); it is difficult to assess the compositionality, given the lack of attestation of all numerals borrowed from this system' | 60: Gloss='3⋅20'","The primary source has 20 = 10×2, an explicit anchor-initial multiplicative decade.",Change 0 to 1.
High,AA090-SA22,AA090,Gata',SA22,Anchor_final_multiplicative_thousands,1,NA,"1⋅1000, 2⋅1000",AA090-numerals-gata1239-1.csv,,"The comment lists 1×1000 and 2×1000, but the raw source contains no thousand data at all.",Change 1 to NA.
High,AA108-SA07,AA108,Gorum-Parenga,SA07,Atomic_teens,0,1,,AA108-numerals-pare1266-1-edited.csv,11: Gloss='1′+10′′'; glosser note='borrowed from Indo-Aryan (Indo-European)' | 12: Gloss='2+10′′'; glosser note='borrowed from Indo-Aryan (Indo-European)' | 13: Gloss='3′+10′′'; glosser note='borrowed from Indo-Aryan (Indo-European)' | 14: Gloss='4′+10′′'; glosser note='borrowed from Indo-Aryan (Indo-European)' | 15: Gloss='5′+10′′'; glosser note='borrowed from Indo-Aryan (Indo-European)' | 16: Gloss='6′′+10′′'; glosser note='borrowed from Indo-Aryan (Indo-European)' | 17: Gloss='7′+10′′'; glosser note='borrowed from Indo-Aryan (Indo-European)' | 18: Gloss='8′+10′′'; glosser note='borrowed from Indo-Aryan (Indo-European)' | 19: Gloss='19'; glosser note='borrowed from Indo-Aryan (Indo-European); historically subtractive',"The raw primary Gloss for 19 is the atomic gloss '19', so SA07 has direct positive evidence.",Change 0 to 1.
High,AA108-SA08,AA108,Gorum-Parenga,SA08,Atomic_higher,0,1,,AA108-numerals-pare1266-1-edited.csv,21: Gloss='20[+]1′'; glosser note='<ek> ‘one’ borrowed from Indo-Aryan (Indo-European)' | 22: Gloss='20[+]2′'; glosser note='<dui> ‘two’ borrowed from Indo-Aryan (Indo-European)' | 23: Gloss='20[+]3′'; glosser note='<tin> ‘three’ borrowed from Indo-Aryan (Indo-European)' | 24: Gloss='20[+]4′'; glosser note='<car> ‘four’ borrowed from Indo-Aryan (Indo-European)' | 25: Gloss='20[+]5′'; glosser note='<panc> ‘five’ borrowed from Indo-Aryan (Indo-European)' | 26: Gloss='20[+]6′'; glosser note='<co> ‘six’ borrowed from Indo-Aryan (Indo-European)' | 27: Gloss='20[+]7′'; glosser note='<sat> ‘seven’ borrowed from Indo-Aryan (Indo-European)' | 28: Gloss='20[+]8′'; glosser note='<aʈ> ‘eight’ borrowed from Indo-Aryan (Indo-European)' | 29: Gloss='20[+]9′'; glosser note='<no> ‘nine’ borrowed from Indo-Aryan (Indo-European)' | 30: Gloss='20[+]10′'; glosser note='<dos> ‘ten’ borrowed from Indo-Aryan (Indo-European)' | 30: Gloss='30'; Alternate='3′⋅10′′'; glosser note='borrowed from Indo-Aryan (Indo-European)' | 40: Gloss='2[⋅]20',"The raw primary Gloss includes atomic 30, so the 'any atomic numeral 21–99' condition is met.",Change 0 to 1.
High,DV020-SA22,DV020,Aranadan,SA22,Anchor_final_multiplicative_thousands,1,,2⋅1000,DV020-numerals-aran1261-1.csv,1000: Gloss='1000'; glosser note='borrowed from Indo-Aryan (Indo-European)',"The comment says 2×1000, but the raw source has only atomic 1000 and no 2000 row.",Change 1; choose 0 or NA according to the coverage rule.
High,DV034-SA09,DV034,Eastern Muria,SA09,Anchor_additive_20,0,1,,DV034-numerals-east2340-1.csv,"20: Gloss='1[⋅]20' | 21: Gloss='1′′+([2]⋅10′′)'; Alternate='21'; glosser note='borrowed from Hindi (Indo-Aryan, Indo-European)' | 22: Gloss='2′+([2]⋅10′′)'; Alternate='22'; glosser note='borrowed from Hindi (Indo-Aryan, Indo-European)' | 23: Gloss='3′+([2]⋅10′′)'; Alternate='23'; glosser note='borrowed from Hindi (Indo-Aryan, Indo-European)' | 24: Gloss='4′′+(2′⋅10′′)'; Alternate='24'; glosser note='borrowed from Hindi (Indo-Aryan, Indo-European)' | 25: Gloss='5′+([2]⋅10′′)'; Alternate='25'; glosser note='borrowed from Hindi (Indo-Aryan, Indo-European)' | 26: Gloss='6′′+(2′⋅10′′)'; Alternate='26'; glosser note='borrowed from Hindi (Indo-Aryan, Indo-European)' | 27: Gloss='7+([2]⋅10′′)'; glosser note='borrowed from Hindi (Indo-Aryan, Indo-European)' | 28: Gloss='8+([2]⋅10′′)'; glosser note='borrowed from Hindi (Indo-Aryan, Indo-European)' | 29: Gloss='29'; Alternate='[1]−{−}(3⋅10′′)'; glosser note='borrowed from Hindi (Indo-Aryan, Indo-European); historically subtractive' | 30: Gloss='(1[⋅]20)[+]10'; glosser note='<dɑs> ‘ten’ borrowed from Hindi (Indo-Aryan, Indo-European)' | 40: Gloss='2[⋅]20'","The primary data include 30 = (1×20)+10, i.e. an additive constituent whose anchor is 20.","Change 0 to 1, unless SA09 is intentionally restricted to a narrower range than its question states."
High,DV040-SA09,DV040,Koya,SA09,Anchor_additive_20,0,1,,DV040-numerals-koya1251-1.csv,20: Gloss='2′⋅10′′' | 20: Gloss='20'; glosser note='borrowed from Indo-Aryan (Indo-European)' | 21: Gloss='(2′⋅10′′)+1' | 21: Gloss='(2′⋅10′′)+1′' | 22: Gloss='(2′⋅10′′)+2' | 22: Gloss='(2′⋅10′′)+2' | 23: Gloss='(2′⋅10′′)+3' | 23: Gloss='(2′⋅10′′)+3' | 24: Gloss='(2′⋅10′′)+4' | 25: Gloss='(2′⋅10′′)+5' | 26: Gloss='(2′⋅10′′)+6' | 27: Gloss='(2′⋅10′′)+7',"A primary attested form for 30 is 20+10, so 20 is explicitly used additively.",Change 0 to 1.
High,IE077-SA09,IE077,Lodhi,SA09,Anchor_additive_20,0,1,,IE077-numerals-lodh1246-1.csv,20: Gloss='20'; glosser note='probably ultimately borrowed from Munda (Austroasiatic)' | 20: Gloss='1[⋅]20' | 21: Gloss='1+([2′]⋅10′′)' | 22: Gloss='2′+([2′]⋅10′′)' | 23: Gloss='3+([2′]⋅10′′)' | 24: Gloss='4+(2′⋅10′′)' | 25: Gloss='5+([2′]⋅10′′)' | 26: Gloss='6+(2′⋅10′′)' | 27: Gloss='7+([2′]⋅10′′)' | 28: Gloss='8+([2′]⋅10′′)' | 29: Gloss='[1]−{−}(3′⋅10′′)' | 30: Gloss='3⋅10′′',The primary data include 30 = (1×20)+10 and further 20-based additive decades.,Change 0 to 1.
High,IE080-SA20,IE080,Chittagonian,SA20,Anchor_final_multiplicative_hundreds,1,,1⋅100,IE080-googleuninum-ctg.csv,100: Gloss='100',"The comment says 1×100, but the raw source has only atomic 100 and no primary 1×100. The positive coding is unsupported by the source.",Change 1; choose 0 or NA according to the study's coverage rule.
