Column1,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-tzel1254-1-one-1,numerals-tzel1254-1,Chan2019,one,1,hun,hun,,FALSCH,1,NA,NA
2,numerals-tzel1254-1-two-1,numerals-tzel1254-1,Chan2019,two,2,tʃeb,tseb,,FALSCH,2,-eb is a plural suffix,NA
3,numerals-tzel1254-1-three-1,numerals-tzel1254-1,Chan2019,three,3,oʃeb,oseb,,FALSCH,3,NA,NA
4,numerals-tzel1254-1-four-1,numerals-tzel1254-1,Chan2019,four,4,tʃaneb,tsaneb,,FALSCH,4,NA,NA
5,numerals-tzel1254-1-five-1,numerals-tzel1254-1,Chan2019,five,5,hoʔeb,hoeb,,FALSCH,5,NA,NA
6,numerals-tzel1254-1-six-1,numerals-tzel1254-1,Chan2019,six,6,wakeb,wakeb,,FALSCH,6,NA,NA
7,numerals-tzel1254-1-seven-1,numerals-tzel1254-1,Chan2019,seven,7,hukeb,hukeb,,FALSCH,7,NA,NA
8,numerals-tzel1254-1-eight-1,numerals-tzel1254-1,Chan2019,eight,8,waʃakeb,wasakeb,,FALSCH,8,NA,NA
9,numerals-tzel1254-1-nine-1,numerals-tzel1254-1,Chan2019,nine,9,baluneb,baluneb,,FALSCH,9,NA,NA
10,numerals-tzel1254-1-ten-1,numerals-tzel1254-1,Chan2019,ten,10,lahuneb,lahuneb,,FALSCH,10,NA,NA
11,numerals-tzel1254-1-eleven-1,numerals-tzel1254-1,Chan2019,eleven,11,bulutʃeb,bulutseb,,FALSCH,11,NA,NA
12,numerals-tzel1254-1-twelve-1,numerals-tzel1254-1,Chan2019,twelve,12,lahtʃajeb,lahtsajeb,,FALSCH,10[+]2,NA,NA
13,numerals-tzel1254-1-thirteen-1,numerals-tzel1254-1,Chan2019,thirteen,13,oʃlahuneb,oslahuneb,,FALSCH,3[+]10,NA,NA
14,numerals-tzel1254-1-fourteen-1,numerals-tzel1254-1,Chan2019,fourteen,14,tʃanlahuneb,tsanlahuneb,,FALSCH,4[+]10,NA,NA
15,numerals-tzel1254-1-fifteen-1,numerals-tzel1254-1,Chan2019,fifteen,15,hoʔlahuneb,holahuneb,,FALSCH,5[+]10,NA,NA
16,numerals-tzel1254-1-sixteen-1,numerals-tzel1254-1,Chan2019,sixteen,16,waklahuneb,waklahuneb,,FALSCH,6[+]10,NA,NA
17,numerals-tzel1254-1-seventeen-1,numerals-tzel1254-1,Chan2019,seventeen,17,huklahuneb,huklahuneb,,FALSCH,7[+]10,NA,NA
18,numerals-tzel1254-1-eighteen-1,numerals-tzel1254-1,Chan2019,eighteen,18,waʃaklahuneb,wasaklahuneb,,FALSCH,8[+]10,NA,NA
