"","ID","Name","Glottocode","Glottolog_Name","ISO639P3code","Macroarea","Latitude","Longitude","Family","BaseAnnotation","BaseAnnotator","BaseComment","Coverage","OneToThirty","BaseInSource"
"1","numerals-ache1245-1","Acheron, Sudan","ache1245","Acheron","acz","Africa",10.8827,30.3187,"Narrow Talodi","quinary","Eugene Chan","Acheron has a counting system based on five. The number 'five' is literally ‘one hand’: zəguŋ = ‘hand’, z-ulluk = ‘one’. na = ‘and’ , -o = Possessive (gurruŋ g-o bɽando ‘40’ = ‘10 of 4’). There are two options for number '100', they areː ɡurruŋ d̪ʊmmek or ɡurruŋ ɡurruŋ ( 10 x 10 ).",0.246913580246914,1,NA
"2","numerals-afad1236-1","Afade, Nigeria, Cameroon","afad1236","Afade","aal","Africa",12.0551,14.6343,"Afro-Asiatic","","Eugene Chan","Afade has a traditional numerals up to 29, from thirty onwards they borrowed Chadic Arabic and Hausa numbers.",0.246913580246914,1,NA
"3","numerals-afar1241-1","Afar, Ethiopia, Eritrea, Djibouti","afar1241","Afar","aar","Africa",12.2281,41.8083,"Afro-Asiatic","","Eugene Chan","Afar numbers 30, 40, 50 and 60 have two alternative forms. Number 'thousand' is a loan from Semitic language.",0.240740740740741,1,NA
"4","numerals-afit1238-1","Afitti, South Sudan","afit1238","Afitti","aft","Africa",12.446,30.7611,"Nyimang","decimal","Eugene Chan","Afitti might have a decimal system. Noteː See published phonology (de Voogt 2009, Studies in African Languages) for the exact phonetic rendering (e.g., closed syllables have an effect on the vowel quality). The rendering of r and l is confused in my view and has not been double-checked. The morphology is largely unknown so the word breaks are tentative. The word for twenty is also the word for ‘body’. The numbers 14-19 and 60-90 are thought to be regular combinations but where not collected separately.",0.123456790123457,0.551724137931034,NA
"5","barlowpacific-agob1244-2","Bugi","agob1244","Agob-Ende-Kawam","kit","Papunesia",-9.08521,142.532,"Pahoturi","binary","Russell Barlow","",0.0432098765432099,0.241379310344828,NA
"6","barlowpacific-ahin1234-1","Kallahan, Kayapa Proper","ahin1234","Ahin-Kayapa Kalanguya","kak","Papunesia",16.321,120.90003,"Austronesian","decimal","Russell Barlow","",0.0802469135802469,0.379310344827586,NA
"7","barlowpacific-aisi1234-1","Aisi [data correspond to two Glottocodes: musa1266 , magi1243]","aisi1234","Aisian","","",-5.256285,145.15305,"Nuclear Trans New Guinea","","","",0.0123456790123457,0.0689655172413793,NA
"8","numerals-akpe1248-1","Akpes, Nigeria","akpe1248","Akpes","ibe","Africa",7.50256,5.95559,"Atlantic-Congo","decimal/vigesimal","Enock Appiah Tieku","Akpes has a vigesimal numeral system. The data is taken from Ekiromi variety.",0.253086419753086,1,NA
"9","numerals-alab1254-1","Alaaba, Ethiopia","alab1254","Alaba-K'abeena","alw","Africa",7.39014,38.1732,"Afro-Asiatic","decimal","Eugene Chan","Alaba has a decimal system of counting. There are two alternative forms for number 'thousand', the first one 'ʃihá' is an Amharic loan. Alaaba has ten vowels, which contrast in height and backness as well as in length. Three heights can be differentiated, high, mid-low and low. The vowels are represented by a/aa [a/a:], e/ee [/:], i/ii [/i:], o/oo [/:], and u/uu [U/u:]. List of Consonants (IPA-Symbols) bilabial labiodental dental alveolar post alveolar palatal velar glottal plosives/ affricates voiceless (p) t tʃ k ? voiced b d dʒ g ejective p’ t’ tʃ’ k’ fricatives voiceless f s ʃ h voiced z ʒ sonorants nasal m n ø liquid /r l glide (å) j å",0.246913580246914,1,NA
"10","numerals-alag1242-1","Alago, Nigeria","alag1242","Alago","ala","Africa",8.34986,8.52085,"Atlantic-Congo","quinary","Enock Appiah Tieku","Alago numerals are similar to that of Agatu and other Idomoid languages, but the Alago numeral system is decimal. NB: All unmarked segments carry mid tone.",0.246913580246914,1,NA
