"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Glosser","Alternate_gloss","Comment_glosser"
"1","numerals-abee1242-1-six-1","numerals-abee1242-1","Chan2019","six","6","lɔ̀hɔ̃̀","loho",NA,"FALSE","6","EAT",NA,"5+1"
"2","numerals-abee1242-1-seven-1","numerals-abee1242-1","Chan2019","seven","7","lɔ̀hʍ̃ã̄ɾí","lohwari",NA,"FALSE","7","EAT",NA,"CHECK: 5+2"
"3","numerals-abee1242-1-twelve-1","numerals-abee1242-1","Chan2019","twelve","12","ǹnàɲʊ̃́","nnanu",NA,"FALSE","10+2","EAT",NA,NA
"4","numerals-abee1242-1-thirteen-1","numerals-abee1242-1","Chan2019","thirteen","13","ǹnàɾí","nnari",NA,"FALSE","10+3","EAT",NA,NA
"5","numerals-abee1242-1-fourteen-1","numerals-abee1242-1","Chan2019","fourteen","14","ǹnàlɛ́","nnale",NA,"FALSE","10+4","EAT",NA,NA
"6","numerals-abee1242-1-fifteen-1","numerals-abee1242-1","Chan2019","fifteen","15","ǹnòní","nnoni",NA,"FALSE","10+5","EAT",NA,NA
"7","numerals-abee1242-1-nineteen-1","numerals-abee1242-1","Chan2019","nineteen","19","ǹɲāàkó","nnaako",NA,"FALSE","10+9","EAT",NA,NA
"8","numerals-abee1242-1-twenty-1","numerals-abee1242-1","Chan2019","twenty","20","òbɾāɲʊ̃̀","obranu",NA,"FALSE","10·2","EAT",NA,NA
"9","numerals-abee1242-1-twentyone-1","numerals-abee1242-1","Chan2019","twentyone","21","òbɾāɲʊ̃̀ édʒì ŋ̀k͡pɔ̄","obranuedzingkpo",NA,"FALSE","(10·2)+{LIG}1","EAT",NA,NA
"10","numerals-abee1242-1-twentytwo-1","numerals-abee1242-1","Chan2019","twentytwo","22","òbɾāɲʊ̃̀ édʒì āɲʊ̃́","obranuedzianu",NA,"FALSE","(10·2)+{LIG}2","EAT",NA,NA
"11","numerals-abee1242-1-twentythree-1","numerals-abee1242-1","Chan2019","twentythree","23","òbɾāɲʊ̃̀ édʒì āɾí","obranuedziari",NA,"FALSE","(10·2)+{LIG}3","EAT",NA,NA
"12","numerals-abee1242-1-twentyfour-1","numerals-abee1242-1","Chan2019","twentyfour","24","òbɾāɲʊ̃̀ édʒì àlɛ́","obranuedziale",NA,"FALSE","(10·2)+{LIG}4","EAT",NA,NA
"13","numerals-abee1242-1-twentyfive-1","numerals-abee1242-1","Chan2019","twentyfive","25","òbɾāɲʊ̃̀ édʒì ōní","obranuedzioni",NA,"FALSE","(10·2)+{LIG}5","EAT",NA,NA
"14","numerals-abee1242-1-twentysix-1","numerals-abee1242-1","Chan2019","twentysix","26","òbɾāɲʊ̃̀ édʒì lɔ̀hɔ̃̀","obranuedziloho",NA,"FALSE","(10·2)+{LIG}6","EAT",NA,NA
"15","numerals-abee1242-1-twentyseven-1","numerals-abee1242-1","Chan2019","twentyseven","27","òbɾāɲʊ̃̀ édʒì lɔ̀hʍ̃ã̄ɾí","obranuedzilohwari",NA,"FALSE","(10·2)+{LIG}7","EAT",NA,NA
"16","numerals-abee1242-1-twentyeight-1","numerals-abee1242-1","Chan2019","twentyeight","28","òbɾāɲʊ̃̀ édʒì èpʲè","obranuedziepje",NA,"FALSE","(10·2)+{LIG}8","EAT",NA,NA
