Language_ID;ID;Parameter_ID;Value;Form;Gloss;Alternate_Gloss;Comment_Glosser
embu1241-1;embu1241-1-1-1;1;imwe;imwe;{CL}1;;
embu1241-1;embu1241-1-2-1;2;iɡiri;iɡiri;{CL}2;;
embu1241-1;embu1241-1-3-1;3;ithatu;ithatu;{CL}3;;
embu1241-1;embu1241-1-4-1;4;inye;inye;{CL}4;;
embu1241-1;embu1241-1-5-1;5;ithano;ithano;{CL}5;;
embu1241-1;embu1241-1-6-1;6;ithathatu;ithathatu;{CL}3’+3;;tha both in five and three - not clear whether it is 3’
embu1241-1;embu1241-1-7-1;7;muɡuanja;muɡuanja;{CL’?}7;;
embu1241-1;embu1241-1-8-1;8;inyanya;inyanya;{CL}4’+4';;( 2  x 4 ) ?
embu1241-1;embu1241-1-9-1;9;kenda;kenda;{CL}9;;
embu1241-1;embu1241-1-10-1;10;ikumi;ikumi;{CL}10;;
embu1241-1;embu1241-1-11-1;11;ikumi na imwe;ikumi na imwe;{CL}10+{+}{CL}1;;
embu1241-1;embu1241-1-12-1;12;ikumi na iɡiri;ikumi na iɡiri;{CL}10+{+}{CL}2;;
embu1241-1;embu1241-1-13-1;13;ikumi na ithatû;ikumi na ithatû;{CL}10+{+}{CL}3;;
embu1241-1;embu1241-1-14-1;14;ikumi na inya;ikumi na inya;{CL}10+{+}{CL}4;;
embu1241-1;embu1241-1-15-1;15;ikumi na ithano;ikumi na ithano;{CL}10+{+}{CL}5;;
embu1241-1;embu1241-1-16-1;16;ikumi na ithathatu;ikumi na ithathatu;{CL}10+{+}{CL}3'+3;;
embu1241-1;embu1241-1-17-1;17;ikumi na muɡuanja;ikumi na muɡuanja;{CL}10+{+}{CL’?}7;;
embu1241-1;embu1241-1-18-1;18;ikumi na inyanya;ikumi na inyanya;{CL}10+{+}{CL}4'+4;;
embu1241-1;embu1241-1-19-1;19;ikumi na kenda;ikumi na kenda;{CL}10+{+}{CL}9;;
embu1241-1;embu1241-1-20-1;20;mironɡo iɡiri;mironɡo iɡiri;"{CL""}10’·{CL}2";;mironɡo = 10 new form
embu1241-1;embu1241-1-21-1;21;mironɡo iri na imwe;mironɡo iri na imwe;"({CL""}10’·{CL}2)+{+}{CL}1";;
embu1241-1;embu1241-1-22-1;22;mironɡo irina iɡiri;mironɡo irina iɡiri;"({CL""}10’·{CL}2)+{+}{CL}2";;
embu1241-1;embu1241-1-23-1;23;mironɡo irina ithatu;mironɡo irina ithatu;"({CL""}10’·{CL}2)+{+}{CL}3";;
embu1241-1;embu1241-1-24-1;24;mironɡo irina inya;mironɡo irina inya;"({CL""}10’·{CL}2)+{+}{CL}4’";;
embu1241-1;embu1241-1-25-1;25;mironɡo irina ithano;mironɡo irina ithano;"({CL""}10’·{CL}2)+{+}{CL}5";;
embu1241-1;embu1241-1-26-1;26;mironɡo irina ithathatu;mironɡo irina ithathatu;"({CL""}10’·{CL}2)+{+}{CL}3’+3";;
embu1241-1;embu1241-1-27-1;27;mironɡo irina muɡuanja;mironɡo irina muɡuanja;({CL”}10’·{CL}2)+{+}{CL'?}7;;
embu1241-1;embu1241-1-28-1;28;mironɡo irina inyanya;mironɡo irina inyanya;"({CL""}10’·{CL}2)+{+}{CL}4’+4’";;
embu1241-1;embu1241-1-29-1;29;mironɡo irina kenda;mironɡo irina kenda;"({CL""}10’·{CL}2)+{+}{CL}9";;
embu1241-1;embu1241-1-30-1;30;mironɡo ithatu;mironɡo ithatu;"{CL""}10’·{CL}3";;
embu1241-1;embu1241-1-40-1;40;mironɡo ina;mironɡo ina;"{CL""}10’·{CL}4";;
embu1241-1;embu1241-1-50-1;50;mironɡo ithano;mironɡo ithano;"{CL""}10’·{CL}5";;
embu1241-1;embu1241-1-60-1;60;mironɡo ithathatu;mironɡo ithathatu;"{CL""}10’·{CL}3’+3";;
embu1241-1;embu1241-1-70-1;70;mironɡo muɡuanja;mironɡo muɡuanja;{CL”}10’·{CL’?}7;;form for 7 likely derived
embu1241-1;embu1241-1-80-1;80;mironɡo inyanya;mironɡo inyanya;{CL”}10’·{CL}4’+4’;;
embu1241-1;embu1241-1-90-1;90;mironɡo kenda;mironɡo kenda;{CL”}10’·9;;
embu1241-1;embu1241-1-100-1;100;iɡana;iɡana;{CL}100;;
embu1241-1;embu1241-1-200-1;200;maɡana meri;maɡana meri;{CL”’}100·{CL”’}2’;;
embu1241-1;embu1241-1-1000-1;1000;nɡiri imwe;nɡiri imwe;1000·1;;hundred and two have the same form if the first sounds are CLs
embu1241-1;embu1241-1-2000-1;2000;nɡiri iɡiri;nɡiri iɡiri;1000·2;;
